class,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,labels,superclasses
ENVO_01001707,,"The direction of motion determines whether fronts are ""cold"", ""warm"", etc. A front is said to be cold if it's moving in the direction of the warmer air mass it is adjacent to. From the perspective of an observer on the ground, this appears as though the colder air ""replaces"" the warmer air mass.","A weather front which is nonoccluded and which moves in the direction of the colder air mass it is adjacent to, such that warmer air will occupy the site where colder air was previously present.",,,,,,,envoAtmo,warm front,ENVO_01001681
ENVO_01001708,,,A weather front at which warm air is ascending to high altitudes along the frontal surface.,,,,,,,envoAtmo,anafront,ENVO_01001681
ENVO_01001709,,,A weather front at which warm air is descending to lower altitudes along the frontal surface.,,,,,,,envoAtmo,katafront,ENVO_01001681
ENVO_01001710,,Note there is controversy if such fronts exist or at least are compatible with frontal theory.,A weather front which exists in an equatorial trough separating the air of the Northern and Southern Hemispheres of an astronomical body.,,,tropical front,,,,envoAtmo,intertropical front,ENVO_01001681
ENVO_01001712,,"""The base of the free atmosphere is usually taken as the geostrophic wind level.""","An atmospheric layer which 1) is located above the planetary boundary layer, 2) in which the effect of friction between moving air masses and the planetary surface is negligible, and 3) in which the air is usually treated (dynamically) as an ideal fluid.",,,,,,,,free atmosphere,ENVO_01000543
ENVO_01001713,,,A weather front which is part of a mass of upper air.,,,,,,,envoAtmo,upper front,ENVO_01001681
ENVO_01001714,,,A weather front which separates air behind a cold front from air ahead of a warm front.,,occlusion,,,,,envoAtmo,occluded front,ENVO_01001681
ENVO_01001715,,,"An occluded front which is adjacent to a cold front 1) that is moving away from the coldest air in the vicinity,  2) where the neighbouring cold front undercuts the neighbouring warm front in the occulsion zone, and 3) where the coldest air in the vicinity replaces less cold air towards the surface of the astronomical body.",,,,,,,envoAtmo,cold occluded front,ENVO_01001714
ENVO_01001716,,,"An occluded front which is adjacent to a warm front 1) that is moving in the direction of the coldest air in the vicinity, 2) where the original cold front is forced aloft at the warm front surface, and 3) where the coldest air is replaced by less cold air at the surface of the astronomical body.",,,,,,,envoAtmo,warm occluded front,ENVO_01001714
ENVO_01001717,,,"An occluded front which is 1) adjacent to a cold and a warm front with no appreciable difference between the temperatures of their bordering air masses and 2) which creates a pressure trough, a wind-shift line, a band of cloudiness, and precipitation at the surface of the astronomical body.",,,,,,,envoAtmo,neutral occluded front,ENVO_01001714
ENVO_01001718,,"The direction of motion determines whether fronts are ""cold"", ""warm"", etc. A front is said to be cold if it's moving in the direction of the warmer air mass it is adjacent to. From the perspective of an observer on the ground, this appears as though the colder air ""replaces"" the warmer air mass.",A cold front which forms behind a frontal cyclone and within a cold air mass with an appreciable horizontal temperature gradient.,,,,,,,envoAtmo,secondary cold front,ENVO_01001706
ENVO_01001743,,,A fluid astronomical body part which is plume shaped.,,,,,,,,plume,ENVO_01001479
ENVO_01001745,,"""Conventionally, a front that is moving at a speed less than about five knots is generally considered to be quasi-stationary. In synoptic chart analysis, a quasi-stationary front is one that has not moved appreciably from its position on the last previous synoptic chart (three or six hours before).""",A front which shows very little mobility.,,,stationary front,,,,,quasi-stationary front,ENVO_01001681
ENVO_01001773,,,A fault across which older rocks are pushed above (away from the core of an astronomical body) younger rocks.,,,,,,,,thrust fault,ENVO_01000668
ENVO_01001775,,,A thrust fault which does not breach the surface of an astronomical body.,,,,,,,,blind thrust fault,ENVO_01001773
ENVO_01001776,,,An environmental zone which includes those regions of an astronomical body which are not exposed to its atmosphere or space.,,,,,,,,subsurface zone of an astronomical body,"ENVO_01000813, ENVO_01000408"
ENVO_01001780,,,"An ecosystem in which the composition, structure, and function of resident ecological assemblages are primarily determined by a desert.",,,,,,,,desert ecosystem,"ENVO_01000813, ENVO_01001110"
ENVO_01001781,,,A solid astronomical body part which is part of the landmass of that body.,,,,,,,,part of a landmass,ENVO_00000191
ENVO_01001782,,,"A large continuous area of land, either surrounded by sea or contiguous with another landmass.",,,,,,,,landmass,ENVO_01001785
ENVO_01001783,,,A surface of an astronomical body which is part of a water body present on that body.,,,,,,,,liquid surface of an astronomical body,ENVO_01001483
ENVO_01001784,,,"A part of an astronomical body which is composed of a continuous medium bearing liquid, gaseous, and solid material in variable quantities.",,,,,,,,compound astronomical body part,ENVO_01000813
ENVO_01001785,,,A surface layer of an astronomical body which is primarily composed of solid material and is not covered by oceans or other bodies of water.,,,,,,,,land,"ENVO_01001311, ENVO_01001483, ENVO_00000191"
ENVO_01001786,,,A sea which shalowly covers central areas of continents during periods of high sea level that result in marine transgressions.,,,"epeiric sea, epicontinental sea",,,,,inland sea,ENVO_00000016
ENVO_01001787,,,,,,,,,,,aquatic ecosystem,"ENVO_01000813, ENVO_01001110"
ENVO_01001788,,,,,,,,,,,marine ecosystem,"ENVO_01001787, ENVO_01000320"
ENVO_01001789,,,,,,,,,,,freshwater ecosystem,ENVO_01001787
ENVO_01001790,,,An ecosystem which primarily occurs on land.,,,,,,,,terrestrial ecosystem,"ENVO_01000813, ENVO_01001110, ENVO_01000997"
ENVO_01001791,,,"A forest ecosystem which includes communities adapted to 1) hot to warm, dry summers, 2) mild to cold, rainy winters, and 3) the influence of large, usually marine, bodies of water.",,,,,,,,mediterranean forest,ENVO_01001804
ENVO_01001792,,,A broadleaf forest which is subject to tropical climate conditions.,,,,,,,,tropical broadleaf forest,"ENVO_01000430, ENVO_01001803"
ENVO_01001793,,,A broadleaf forest which is subject to subtropical climate conditions.,,,,,,,,subtropical broadleaf forest,"ENVO_01000430, ENVO_01001804"
ENVO_01001794,,,A broadleaf forest which is subject to temperate climate conditions.,,,,,,,,temperate broadleaf forest,"ENVO_01000430, ENVO_01001805"
ENVO_01001796,,,A mixed forest which is subject to temperate climatic conditions.,,,,,,,,temperate mixed forest,"ENVO_01000431, ENVO_01001805"
ENVO_01001797,,,A mixed forest which is subject to tropical climatic conditions.,,,,,,,,tropical mixed forest,"ENVO_01000431, ENVO_01001803"
ENVO_01001799,,,A tropical broadleaf forest which 1) s subject to a year-round warm climate 2) may receive several hundred centimeters or rain per year and 3) are subject to long dry seasons which last several months.,,,,,,,,tropical dry broadleaf forest,ENVO_01001792
ENVO_01001800,,,"A tropical broadleaf forest which 1) has low variability in annual temperature, 2) high levels of rainfall (>200 centimeter annually), and 3) has tree communities dominated by semi-evergreen and evergreen species.",,,,,,,,tropical moist broadleaf forest,ENVO_01001792
ENVO_01001801,,,A subtropical broadleaf forest which 1) s subject to a year-round warm climate 2) may receive several hundred centimeters or rain per year and 3) are subject to long dry seasons which last several months.,,,,,,,,subtropical dry broadleaf forest,ENVO_01001793
ENVO_01001802,,,"A subtropical broadleaf forest which 1) has low variability in annual temperature, 2) high levels of rainfall (>200 centimeter annually), and 3) has tree communities dominated by semi-evergreen and evergreen species.",,,,,,,,subtropical moist broadleaf forest,ENVO_01001793
ENVO_01001803,,This class is primarily to be populated by inference.,A forest ecosystem which is subject to tropical climate conditions.,,,,,,,,tropical forest,"ENVO_01001243, ENVO_01001701"
ENVO_01001804,,This class is primarily to be populated by inference.,A forest ecosystem which is subject to subtropical climate conditions.,,,,,,,,subtropical forest,"ENVO_01001243, ENVO_01001702"
ENVO_01001805,,This class is primarily to be populated by inference.,A forest ecosystem which is subject to temperate climate conditions.,,,,,,,,temperate forest,"ENVO_01001243, ENVO_01001705"
ENVO_01001806,,,A grassland ecosystem which is subject to tropical climatic conditions.,,,,,,,,tropical grassland,"ENVO_01001206, ENVO_01001701"
ENVO_01001807,,,,,,,,,,,flooded grassland,ENVO_01001206
ENVO_01001808,,,,,,,,,,,montane grassland,ENVO_01001206
ENVO_01001809,,,A grassland which is subject to subtropical climatic conditions.,,,,,,,,subtropical grassland,"ENVO_01001206, ENVO_01001702"
ENVO_01001810,,,A grassland which is subject to mediterranean climatic conditions.,,,,,,,,mediterranean grassland,ENVO_01001809
ENVO_01001811,,,,,,,,,,,temperate grassland,ENVO_01001206
ENVO_01001812,,,,,,,,,,,subpolar grassland,ENVO_01001206
ENVO_01001816,,,A manufactured product which has been designed to contain a mass of biomaterial.,,,,,,,,biomaterial containment unit,ENVO_00003074
ENVO_01001817,,,A biomaterial containment unit which is designed to allow the growth and propagation of the biomaterial it contains.,,,,,,,,biomaterial culturing unit,ENVO_01001816
ENVO_01001818,,,A biomaterial culturing unit which is designed to promote the growth of selected cell populations (often at the expense of others) within a community by altering the conditions of the environment within its confines.,,,,,,,,enrichment culturing unit,ENVO_01001817
ENVO_01001819,,,A biomaterial culturing unit which is designed to promote the growth and propagation of cells in an artificial medium.,,,,,,,,cell culturing unit,ENVO_01001817
ENVO_01001822,,,An enrichment culturing unit which contains environmental material bearing ecological assemblages undergoing selection through experimentally imposed conditions.,,,,,,,,active enrichment culturing unit,ENVO_01001818
ENVO_01001823,,,A plume which is composed primarily of bubbles.,,,,,,,,bubble plume,ENVO_01001743
ENVO_01001825,,,An active enrichment culturing unit which contains environmental material maintained under conditions with no free oxygen.,,,,,,,,active anaerobic enrichment culturing unit,ENVO_01001822
ENVO_01001826,,,An active enrichment culturing unit which contains environmental material maintained under conditions that favour the reduction of sulphate.,,,,,,,,active sulphate-reducing enrichment culturing unit,ENVO_01001825
ENVO_01001828,,,An ecosystem which is formed as a result of human activity or impact.,,,,,,,,anthropised ecosystem,"ENVO_01001110, ENVO_01000313"
ENVO_01001829,,,An anthropised ecosystem which is determined by the presence of humans and their constructions.,,,,,,,,human settlement,"ENVO_01000813, ENVO_01001828, ENVO_01001002, ENVO_01001055"
ENVO_01001839,,,An environment in which living organisms have a low likelihood of being harmed or killed,,,,,,,,safe environment for living organisms,ENVO_01001840
ENVO_01001840,,,An environment in which material entities have a low likelihood of being damaged or destroyed.,"This branch will be axiomatised in subsequent revisions, most likely using classes from NBO and OAE. See https://github.com/EnvironmentOntology/envo/pull/899 for a link trail.",,,,,,,safe environment,ENVO_01000997
ENVO_01001851,,"In many geothermally active fields, wells can be drilled to obtain elements contained in solution in hot brines or to tap heat energy.",A field in which geothermal processes occur.,,,,,,,,geothermally active field,ENVO_01000352
ENVO_01001854,,"Hydrothermal activity in such fields often forming hot springs, geysers or other features at which anomalously hot water is released.",A geothermally active field within which geothermally heated aqueous fluids are discharged from the the surface of a rocky planet.,,,,,,,,hydrothermal field,ENVO_01001851
ENVO_01001870,,,A well which has been drilled in order to extract natrual gas from subterranean reservoirs and bring it to the surface.,,,,,,,,gas well,ENVO_00000026
ENVO_01001871,,,"A depression in the ground resembling a hole or cavity, either natural or anthropogenic.",,,,,,,,pit,ENVO_00000309
ENVO_01001872,,,A pit which is used for the collection and storage of manure.,,,,,,,,manure pit,ENVO_01001871
ENVO_01001873,,,A construction in which eggs are hatched under artificial conditions.,,,,,,,,hatchery,ENVO_00000070
ENVO_01001874,,,A hatchery in which the eggs of poultry are hatched under artificial conditions.,,,,,,,,poultry hatchery,ENVO_01001873
ENVO_01001884,,"The usage of ""surface"" here aligns with that of planetary surface: in contact with the atmosphere or space. The extent of the ""surface"" can vary. For rocky planets like Earth, astrogeologists consider the crust as the surface.",A landform which occurs on the surface of an astronomical body.,,,,,geographic feature,,,surface landform,ENVO_01001886
ENVO_01001885,,,A landform which is submerged underneath a body of liquid.,,,,,,,,submerged landform,ENVO_01001886
ENVO_01001886,,"Landforms may be natural or anthropogenic. This term has often has loose usage when referencing entities which are either subterranean or submerged below water bodies. In some cases, oceans themselves are considered landforms. Here, we have provided subclasses to resolve this ambiguity, but place oceans and other water bodies elsewhere.In later revisions, this hiearchy is likely to be reordered based on the formation processes of the entities within it.",A solid astronomical body part which has been formed from and is composed primarily of the matter of that astronomical body.,,,,,,,,landform,ENVO_00000191
ENVO_01001887,,,A paper product which has been manufactured to facilitate the writing of letters.,,,,,,,,letter paper,ENVO_00003895
ENVO_01001888,,,A mineral spring through which water with elevated concentrations of calcium hydroxide flows.,,,,,,,,calcic spring,ENVO_00000125
ENVO_01001889,,,A mineral spring through which water with elevated concentrations of lithium salts flows.,,,,,,,,lithia spring,ENVO_00000125
ENVO_01001890,,,A spring through which water with elevated concentrations of iron salts flows.,,,,,,,,chalybeate spring,ENVO_00000125
ENVO_01001891,,,A spring through which water with elevated concentrations of hydrated double sulfate aluminium salts flows.,,,,,,,,alum spring,ENVO_00000125
ENVO_01001893,,,"A mineral spring through which water with elevated concentrations of sodium, calcium, or magnesium salts flows.",,,saline spring,,,,,salt spring,ENVO_00000125
ENVO_01001894,,,A mineral spring through which water with a high pH flows.,,,,,,,,alkaline spring,ENVO_00000125
ENVO_01001895,,,A mineral spring through which water with elevated levels of dissolved carbon dioxide gas flows.,,,,,,,,soda spring,ENVO_00000125
ENVO_01001896,,,A mineral spring through which water with elevated levels of radioactive material flows.,,,,,,,,radioactive spring,ENVO_00000125
ENVO_01001897,,,A spring through which water with a neutral pH flows.,,,,,,,,neutral spring,ENVO_00000027
ENVO_01001898,,,A spring through which water with a low pH flows.,,acid spring,,,,,,acidic spring,ENVO_00000027
ENVO_01001899,,,,,,,,,,,reef,ENVO_00000012
ENVO_01003000,,,A vehicle designed to fly in outer space.,,,,,,,,spacecraft,ENVO_01000604
ENVO_01003020,,"Subclasses of this class have fiat (and only fiat) boundaries - that is, boundaries which are determined by human consensus or opinion rather than (and sometimes in contrast to) well-defined physical discontinuities. We distinguish these from entities that have fuzzy or hard to define boundaries that do overlap some form of physical discontinuity.",A part of an environmental system whose boundaries are determined by fiat.,,,,,,,,fiat part of an astronomical object,BFO_0000024
ENVO_01003021,,Air is not specified directly (although the definition subsumes air masses) to allow for other forms of low pressure areas in planetary atmospheres.,A gaseous part of an atmosphere in which gases have increased atmospheric pressure.,,,,,,,,area of high atmospheric pressure,ENVO_01001645
ENVO_02000000,,,A hypodermic needle is a medical instrument made from a hollow needle. It is commonly used with a syringe to inject substances into the body of an organism.,,,,,,,,hypodermic needle,ENVO_00010621
ENVO_02000001,,,A textile is a manufactured product comprised of a network of natural or artificial fibers (often referred to as thread or yarn).,,,,,,,,textile,ENVO_00003074
ENVO_02000002,,,"Bedclothing is a textile covering used on a bed as a sheet, blanket, or pillowcase.",,,,,,,,bedclothing,ENVO_02000001
ENVO_02000003,,,"A pockmark field is an undersea feature formed by shallow seabed depressions, typically several tens of metres across and a few metres deep. Generally, they are formed in soft, fine-grained seabed sediments by the escape of fluids (gas or water, but mainly methane) into the water column.",,,,,,,,pockmark field,ENVO_01000352
ENVO_02000043,,"This definition should be revised, it is currently too ambiguous.","A biological product is an environmental substrate comprised of any virus, therapeutic serum, toxin, antitoxin, or analogous product available to prevent, treat or cure diseases or injuries in man.",,,,,,,,biological product,ENVO_00003074
ENVO_02000049,,,Coastal water is a marine water body bordering a coast.,,,,,,,envoPolar,coastal water body,ENVO_00001999
ENVO_02000052,,,A canopy designed to protect against precipitation or sunlight.,,,,,,,,umbrella,ENVO_00003074
ENVO_02000058,,,"A textile comprised of a pliable material made usually by weaving, felting, or knitting natural or synthetic fibers and filaments.",,,,,,,,cloth,ENVO_02000001
ENVO_02000092,,,,,,,,,,,iron mine,ENVO_00000076
ENVO_02000093,,,,,,,,,,,uranium mine,ENVO_00000076
ENVO_02000110,,,A surface mine that utilizes a technique of extracting rock or minerals from the earth by their removal from an open pit or borrow.,,,,,,,,open-pit mine,ENVO_00000076
ENVO_02000132,,"Monuments can commemorate people, animals, populations, events, or any other entity.",A human construction which serves as a memorial.,,monument,,,,,,constructed monument,ENVO_00000070
ENVO_02000133,,,A human construction which is used to initiate and control a fission nuclear chain reaction or nuclear fusion reactions.,,,,,,,,nuclear reactor,ENVO_00000070
ENVO_02000134,,,A nuclear reactor which uses a neutron moderator to slow neutrons until they approach the average kinetic energy of the surrounding particles.,The term fast neutron may later be added to an ontology external to ENVO. See https://github.com/EnvironmentOntology/envo/pull/1184 for comments.,,thermal reactor,,,,,thermal nuclear reactor,ENVO_02000137
ENVO_02000135,,"Fast neutrons are neutrons carrying energies above 0.5 MeV or greater, on average. They are defined as in opposition to thermal neutrons used in thermal-neutron reactors.",A nuclear reactor in which the fission chain reaction is sustained by fast neutrons.,,,fast reactor,,,,,fast neutron reactor,ENVO_02000137
ENVO_02000136,,"An example use of a research nucelar reactor is the production of radioisotopes for medicine and industry, Research reactors are simpler than power reactors and operate at lower temperatures. They need far less fuel, and far less fission products build up as the fuel is used",A nuclear reactor which serves primarily as a neutron source for purposes other than power.,,,"non-power reactor, nuclear test reactor, test reactor",,,,,research nuclear reactor,ENVO_02000133
ENVO_02000137,,,A nuclear reactor which is used as a source of power.,,,power reactor,,,,,nuclear power reactor,ENVO_02000133
ENVO_02000141,,,A human construction which is used to process materials into forms that have increased value or utility in downstream processes.,,,,,,,,refinery,ENVO_00000070
ENVO_02000142,,"Petroleum processing is an industrial process  in which crude oil is transformed and refined into useful products such as petroleum naphtha, gasoline, diesel fuel, asphalt base, heating oil, kerosene, liquefied petroleum gas, jet fuel and fuel oils.",A refinery which is capable of processing petroleum oil.,,,oil refinery,,,,,petroleum oil refinery,ENVO_02000141
ENVO_02000143,,,A refinery which is capable of processing raw sugar. Raw sugar is processed from cane or beets into white refined sugar.,,,,,,,,sugar refinery,ENVO_02000141
ENVO_02000144,,,"A refinery which is capable of processing natural gas. Natural-gas processing encompasses a range of industrial processes designed to purify raw natural gas by removing impurities, contaminants and higher molecular mass hydrocarbons to produce what is known as pipeline quality dry natural gas",,,,,,,,natural gas processing plant,ENVO_02000141
ENVO_02000150,,,A mineral deposit that contains uranium ore.,,,uranium ore deposit,,,,,uranium deposit,ENVO_01000255
ENVO_02000151,,"Oklo is the only known location for this in the world and consists of 16 sites at which self-sustaining nuclear fission reactions are thought to have taken place approximately 1.7 billion years ago, and ran for a few hundred thousand years, averaging probably less than 100 kW of thermal power during that time",A uranium deposit where self-sustaining nuclear chain reactions have occurred.,,,,,,,,natural nuclear fission reactor,ENVO_02000150
ENVO_03000015,,,"A depression which is part of a planetary crust, is of geographic scale, and is partially or completely enclosed.",The general semantics of depression and geographic basin are still to be worked out see  https://github.com/EnvironmentOntology/envo/issues/486,,,,,,envoPolar,geographic basin,ENVO_00000309
ENVO_03000018,,,A stream which is primarily composed of meltwater and which flows within a glacier or ice sheet.,,,,,,,envoPolar,englacial stream,ENVO_00000023
ENVO_03000035,,,A water body which is located in a depression within the surface of a glacier.,,,supraglacial lakes,,,,envoPolar,supraglacial lake,ENVO_00000020
ENVO_03000037,,"This class is more fully defined as: ""The part of the glacier, usually at lower elevations, where ablation exceeds accumulation in magnitude, that is, where the cumulative mass balance relative to the start of the mass-balance year is negative. Unless qualified, for example by giving a date within the year, references to the ablation zone refer to its extent at the end of the mass-balance year. The extent of the ablation zone can vary strongly from year to year. A synonym of ablation area."" - GCW Terminology and Vocabulary Assessment Report 2018”, GCW report #23/2018",An ablation zone which is part of a glacier.,,,"area of glacial ablation, glacial ablation area, glacial ice ablation area",,,,envoPolar,glacial ice ablation zone,ENVO_01000914
ENVO_03000039,,This class doesn't refer to the site but instead the depression or hole and therefore the adjacency to the cryoconite itself.,"A vertical thaw hole within an ice mass, formed as a result of ice melt associated with local temperature increases, due to increased absorption of solar radiation by cryoconite deposits.",The general semantics of depressions are still to be worked out see  https://github.com/EnvironmentOntology/envo/issues/486,,cryoconite holes,,,,envoPolar,cryoconite hole,ENVO_03000048
ENVO_03000040,,,A water body which forms as a result of localised melting taking place on the surface of a glacier or a mass of sea ice and which is contained in the cavity formed by such melting.,,,"melt ponds, meltpond, meltponds",,,,envoPolar,melt pond,ENVO_00000063
ENVO_03000041,,,A channel through which brine flows.,,,brine channels,,,,envoPolar,brine channel,"ENVO_03000117, ENVO_03000110"
ENVO_03000048,,,A channel which traverses an ice mass floating on a water body and bridges the atmosphere to the underlying water through its internal cavity.,,,thaw holes,,,,envoPolar,thaw hole,ENVO_03000117
ENVO_03000050,,,A melt pond which has a surface exposed to the atmosphere.,,,,,,,envoPolar,atmosphere-exposed melt pond,ENVO_03000040
ENVO_03000051,,"In practice, there may be some openings which are small relative to the surface footprint of the meltpond.",A melt pond which is completely encased in ice and thus not directly exposed to the atmosphere or underlying water.,,,,,,,envoPolar,ice-encased melt pond,ENVO_03000040
ENVO_03000053,,,A lake which is comprised of meltwater located underneath or within a glacier.,Add axioms to show that this is on the larger side in a size continuum between ice-encased meltponds and intraglacial lakes.,,intraglacial lakes,,,,envoPolar,intraglacial lake,ENVO_00000020
ENVO_03000065,,"Ice floes can exist in sea ice, in rivers or lakes. The WMO offers the following extent-based classification. Floe giant: Over 10 km across.
Floe vast: 2-10 km across. Floe big: 500-2000 m across. Floe medium: 100-500 m across. Floe small: 20-100 m across. Ice cake: Less than 20 m across. Small ice cake: Less than 2 m across.","An ice mass which forms a cohesive and contiguous sheet of water ice, floating upon the surface of a water body.",,,ice floes,,,,envoPolar,ice floe,ENVO_01000293
ENVO_03000066,,,"An ice floe which is formed from frozen sea water, and floats upon the surface of a marine water body.",,,sea ice floes,,,,envoPolar,sea ice floe,ENVO_03000065
ENVO_03000067,,,A sea ice floe which has a rounded or circular shape and raised rims.,,,,,,,envoPolar,pancake ice,ENVO_03000066
ENVO_03000068,,,"A sea ice floe which is thin, elastic, continuous, and of a transparent gray color, which results from the freezing of new ice.",,,,,,,envoPolar,nilas,ENVO_03000066
ENVO_03000069,,,A sea ice floe which is inflexible and thicker than nilas.,,,,,,,envoPolar,young ice,ENVO_03000066
ENVO_03000074,,"Within a marine system, grease ice makes the ocean surface resemble an oil slick.","A layer which consists of a thin aggregate of frazil ice crystals, which float upon the surface of a water body.",,,,,,,envoPolar,grease ice layer,ENVO_01001276
ENVO_03000077,,,A layer which consists of slush ice.,,,,,,,envoPolar,slush ice layer,ENVO_01001276
ENVO_03000082,,"Continued thawing of the permafrost substrate can lead to the drainage and eventual disappearance of thermokarst lakes, leaving only the landform, thermokarst depression behind.",A freshwater lake which fills a depression formed by the erosion of thermokarst caused by permafrost thaw.,,,"cave-in lake, thaw lake, thermokarst lakes",,,,envoPolar,thermokarst lake,ENVO_00000021
ENVO_03000083,,"On Earth, the bright blue appearance, in the light spectrum visible to humans, is due to increased abundances of microorganisms attracted to sulfur compounds associated with the methane release.","A thermokarst lake through which methane gas released from thawing permafrost, or other methane stores, rises and escapes to the atmosphere.",,,,,,,envoPolar,methane-releasing thermokarst lake,ENVO_03000082
ENVO_03000084,,,A geographic basin which is formed due to the erosion of thermokarst by meltwater released from thawing permafrost.,,,,,,,envoPolar,thermokarst depression,"ENVO_03000015, ENVO_01001781"
ENVO_03000085,,Thermokarst is usually found in Arctic or mountainous areas.,"An irregular land surface which consists of marshy hollows, hummocks, thermokarst depressions and thermokarst lakes formed from the erosion of ice-rich thawing permafrost areas.",,,,,,,envoPolar,thermokarst,ENVO_01000635
ENVO_03000089,,,A crater which is found in permafrost and formed as a result of an explosion fuelled by methane formerly contained in that permafrost.,,gigantic funnel,,,,,envoPolar,permafrost crater derived from a methane explosion,ENVO_00000514
ENVO_03000110,,,A solid astronomical body part which is primarily composed of a continuous mass of snow and/or ice.,Place holder class. Also the axiom should be changed to something along the lines of 'primairly composed of’ some ‘environmental material’ and ‘has quality’ frozen once PATO:frozen is imported.,,,,,,envoPolar,cryoform,ENVO_00000191
ENVO_03000117,,,"A structure which traverses a mass of one or more environmental materials, and encloses a roughly tubular site.","Intended to be a top level class for wide variety of channel-like entities. It’s particulars may change once more subclasses are accumulated. This is distinct from 'channel of a watercourse', which is a depression.",,,,,,envoPolar,channel,ENVO_01001886
ENVO_03000118,,,A melt pond which and is exposed to the atmosphere and to a lesser degree water underlying the ice mass which contains it.,It would be good to add an axiom such as 'continuous with' some 'water body'.,,open melt pond,,,,envoPolar,atmosphere and water column exposed melt pond,ENVO_03000040
ENVO_03000119,,,"A melt pond which is formed close to that part of an ice mass which is in contact with some underlying water body, and which has channels connecting it to that water body.",It would be good to add an axiom such as 'continuous with' some 'water body'.,,,,,,envoPolar,water column exposed melt pond,ENVO_03000040
ENVO_03000120,,,A lake which is situated beneath a glacier.,,,subglacial lakes,,,,envoPolar,subglacial lake,ENVO_00000198
ENVO_03000132,,"Firebreaks are typically elongated in shape and may be artificially constructed or result from a naturally occurring obstacle to a fire. Such obstacles include naturally occurring astronomical body parts such as a as rivers, lakes or canyons, or alternatively anthropologically constructed features such as roads.","A woodland clearing which is large enough to starve land fires of fuel, impeding their progress through wooded areas.",,,fire break,,,,,firebreak,ENVO_00000444
ENVO_03000138,,"Precipitation in the form of very small, white opaque particles of ice; the solid equivalent of drizzle. They resemble snow pellets in external appearance, but are more flattened and elongated, and generally have diameters of less than 1 mm; they neither shatter nor bounce when they hit a hard surface. Descriptions of the physical structure of snow grains vary widely and include very fine, simple ice crystals; tiny, complex snow crystals; small, compact bundles of rime; and particles with a rime core and a fine glaze coating. It is agreed that snow grains usually fall in very small quantities, mostly from stratus clouds or from fog, and never in the form of a shower.","A particle which is 1) primarily compposed of water ice, 2) on the order of 1 milimeter or less, 3) has a white and opaque appearance, and 4) is formed as a result of water droplets freezing during precipitation.",Need to add a computable size constraint.,,"grain of snow, granule of snow, snow grain, snow granule, snow particle",,granular snow,,"envoPolar, envoCryo",particle of snow,"ENVO_01003002, ENVO_01000293"
ENVO_03000141,,"Follows from the GCW's snow cover definition 2: In general, a layer of snow on the ground surface. Compare snowfield, snowpack.

Given the SWEET terms location in its heirarchy I think only the 3rd definition is meant.",A cryospheric layer which is primarily composed of snow.,,,,,snow cover,,"envoPolar, envoCryo",snow layer,ENVO_01001609
